site,rep,distance ,station,transect,dist_stat,plant_no,pot_ no,counts_p1,counts_p2,counts_p3,counts_p4,counts_p5,mean_count_pot,SD_count_pot,mat,mah,minws,mws,maxws,mwd,precip,ptype,mdp,mrain
pbc,1,25 m,6,6,25m_6,5,28,0,0,0,3,0,0.6,1.341640786,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,7,7,25m_7,5,29,2,1,0,0,0,0.6,0.894427191,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,7,7,25m_7,5,30,1,0,0,0,1,0.4,0.547722558,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,8,8,25m_8,5,31,1,0,0,0,1,0.4,0.547722558,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,8,8,25m_8,5,32,1,1,0,0,0,0.4,0.547722558,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,9,9,25m_9,5,33,3,1,2,0,1,1.4,1.140175425,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,9,9,25m_9,5,34,0,1,0,0,0,0.2,0.447213595,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,10,10,25m_10,5,35,1,0,0,0,1,0.4,0.547722558,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,10,10,25m_10,5,36,2,0,0,0,3,1,1.414213562,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,50 m,1,1,50m_1,3,37,0,0,0,NA,NA,0,0,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,50 m,2,2,50m_2,3,38,3,0,0,NA,NA,1,1.732050808,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,50 m,3,3,50m_3,3,39,2,0,0,NA,NA,0.666666667,1.154700538,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,50 m,4,4,50m_4,3,40,1,0,0,NA,NA,0.333333333,0.577350269,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,50 m,5,5,50m_5,3,41,1,0,0,NA,NA,0.333333333,0.577350269,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,50 m,6,6,50m_6,3,42,0,1,1,NA,NA,0.666666667,0.577350269,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,50 m,7,7,50m_7,3,43,1,0,0,NA,NA,0.333333333,0.577350269,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,50 m,8,8,50m_8,3,44,1,2,2,NA,NA,1.666666667,0.577350269,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,50 m,9,9,50m_9,3,45,1,0,1,NA,NA,0.666666667,0.577350269,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,50 m,10,10,50m_10,3,46,0,2,0,NA,NA,0.666666667,1.154700538,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,75 m,1,1,75m_1,3,47,0,2,0,NA,NA,0.666666667,1.154700538,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,75 m,2,2,75m_2,3,48,0,0,3,NA,NA,1,1.732050808,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,75 m,3,3,75m_3,3,49,1,0,0,NA,NA,0.333333333,0.577350269,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,75 m,4,4,75m_4,3,50,2,1,0,NA,NA,1,1,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
