SpEv,site,rep,distance,station,transect,dist_stat,plant_no,pot_no,counts_p1,counts_p2,counts_p3,counts_p4,counts_p5,degrees,mean_pot_count
Curyo Rain 1,Curyo,1,75,6,6,75m_6,3,52,0,1,1,NA,NA,340,0.6666666666666666
Curyo Rain 1,Curyo,1,75,7,7,75m_7,3,53,0,0,1,NA,NA,350,0.3333333333333333
Curyo Rain 1,Curyo,1,75,8,8,75m_8,3,54,0,0,1,NA,NA,360,0.3333333333333333
Curyo Rain 1,Curyo,1,75,9,9,75m_9,3,55,0,1,0,NA,NA,10,0.3333333333333333
Curyo Rain 1,Curyo,1,75,10,10,75m_10,3,56,0,1,0,NA,NA,20,0.3333333333333333
Horsham Irrg 1,pbc,1,0,1,1,0m_1,5,1,1,2,2,0,3,45,1.6
Horsham Irrg 1,pbc,1,10,1,1,10m_1,5,10,1,0,0,0,2,45,0.6
Horsham Irrg 1,pbc,1,10,4,10,10m_4,5,15,1,0,1,0,0,135,0.4
Horsham Irrg 1,pbc,1,25,1,1,25m_1,5,18,1,1,2,2,0,45,1.2
Horsham Irrg 1,pbc,1,25,6,6,25m_6,5,27,1,0,0,3,0,95,0.8
Horsham Irrg 1,pbc,1,25,7,7,25m_7,5,30,1,0,0,0,1,105,0.4
Horsham Irrg 1,pbc,1,25,8,8,25m_8,5,31,1,0,0,0,1,115,0.4
Horsham Irrg 1,pbc,1,25,8,8,25m_8,5,32,1,1,0,0,0,115,0.4
Horsham Irrg 1,pbc,1,25,10,10,25m_10,5,35,1,0,0,0,1,135,0.4
Horsham Irrg 1,pbc,1,50,4,4,50m_4,3,40,1,0,0,NA,NA,75,0.3333333333333333
Horsham Irrg 1,pbc,1,50,5,5,50m_5,3,41,1,0,0,NA,NA,85,0.3333333333333333
Horsham Irrg 1,pbc,1,50,7,7,50m_7,3,43,1,0,0,NA,NA,105,0.3333333333333333
Horsham Irrg 2,pbc,2,25,2,2,25m_2,5,20,1,0,1,1,NA,55,0.75
Horsham Irrg 2,pbc,2,25,3,3,25m_3,5,21,1,0,0,2,NA,65,0.75
